,fold,predictors,combination,e,md,mcw,mds,g,subsample
99,1,1.0,pet,0.1295433899925158,4.0,10.0,5.681775561357871,9.595170884401991,0.9256009984101136
100,1,2.0,tcq-tcov,0.0532720684664372,4.0,2.435067732896913,9.243293339122651,9.802469972682642,0.6762517255323418
101,1,3.0,yt-ts-ndviw,0.1297201039361643,6.0,9.759442344446777,5.875779708779855,7.555893034372429,0.9446566012454471
102,1,4.0,tdq-twq-yp-wavai,0.0773273116822863,5.0,2.492363654302874,3.102676098673828,3.96603172362582,0.9492292173021604
103,1,5.0,twq-pwm-pet-bgr-wavai,0.0770728496925247,4.0,1.0,4.22357129996708,3.6437371359950967,0.9668905339681236
104,1,6.0,twq-pet-tcov-bgr-ts-wavai,0.062251246059091,6.0,3.707376712222932,3.7123849801962905,2.9769142367275734,0.7937406881782709
105,1,7.0,yt-tdq-pet-ps-ts-ndvif-ndviw,0.2632298426681496,6.0,1.29442852476275,1.0716611053275835,0.4950175681647462,0.9035461598697684
106,1,8.0,twq-yp-pwm-pet-tcov-bgr-ts-ndvism,0.0801144867209872,6.0,8.182338987023424,5.035475379199193,0.0,0.7758939581560881
107,1,9.0,tdq-twq-pwm-pet-ai-tcov-bgr-ts-ndvisp,0.0398261560179092,5.0,1.5175910548308549,0.0,1.6981859624367992,0.7152747322619429
108,1,10.0,twq-tcq-yp-pwm-pet-tcov-bgr-ts-ndvism-ndviw,0.0488122723527007,6.0,5.926635689172879,2.0880840723111724,2.7575862005044067,0.7712227664976938
